,geometry,month_timestamp,detection_drives_count,avg_speed,near_miss_pedestrian_ratio,near_miss_bicycle_ratio,near_miss_vehicle_ratio,avg_pedestrian_on_road_volume,avg_bicycle_on_road_volume,braking_count,cornering_count,harsh_braking_ratio,harsh_cornering_ratio
2678,"[[34.759214, 32.034579], [34.75923, 32.034215]]",1/1/2021,932,66.49411929,0,0,0,0.002145923,0.003218884,85,640,0,0.000625605
2679,"[[34.784752, 32.073512], [34.786077, 32.073479]]",1/1/2021,398,25.41516816,0,0,0,0.226130653,0.165829146,0,0,0,0
2680,"[[34.789675, 32.112764], [34.789969, 32.114578]]",1/1/2021,398,46.78681656,0,0,0.007537688,0,0.002512563,141,162,0,0.000464907
2681,"[[34.775188, 32.054734], [34.775085, 32.054507]]",1/1/2021,261,38.8742274,0,0,0,0.022988506,0.019157088,16,202,0,0.00236045
2682,"[[34.775065, 32.07718], [34.77521, 32.077284]]",1/1/2021,192,27.68495312,0,0,0,0.057291667,0,26,99,0,0
2683,"[[34.78715, 32.076226], [34.787248, 32.076193]]",1/1/2021,352,22.70075913,0.008522727,0,0.017045455,0.048295455,0.011363636,44,129,0,0.015503876
2684,"[[34.772656, 32.094421], [34.772673, 32.09449]]",1/1/2021,69,36.69198362,0,0,0,0.014492754,0,6,37,0,0
2685,"[[34.77447, 32.076866], [34.774439, 32.076869]]",1/1/2021,85,17.36733346,0,0,0,0,0,7,57,0,0.087719298
2686,"[[34.773006, 32.076002], [34.772514, 32.075518]]",1/1/2021,213,18.26173756,0.051643192,0,0.093896714,0.061032864,0.014084507,68,73,0,0.000657534
2687,"[[34.788733, 32.076862], [34.788892, 32.076916]]",1/1/2021,2712,35.79356888,0,0,0.016961652,0.012905605,0.013274336,204,1434,0,0.010122603
2688,"[[34.78903, 32.082071], [34.788908, 32.081179]]",1/1/2021,232,21.52237227,0,0,0,0.254310345,0.043103448,0,0,0,0
2689,"[[34.784654, 32.074562], [34.784621, 32.074766]]",1/1/2021,1238,32.08075112,0.000807754,0,0.020193861,0.028271405,0.012116317,243,837,0,0
2690,"[[34.7857, 32.084416], [34.785579, 32.084138]]",1/1/2021,598,27.7626405,0,0,0.001672241,0.045150502,0.040133779,32,235,0,0.044341494
2691,"[[34.768254, 32.045241], [34.768259, 32.045306]]",1/1/2021,68,29.56692721,0,0,0,0,0,6,45,0,0.066666667
2692,"[[34.777797, 32.0796], [34.777679, 32.079608]]",1/1/2021,502,26.15774481,0,0,0.009960159,0.015936255,0.009960159,113,346,0,0.016639035
2693,"[[34.777679, 32.079608], [34.777067, 32.079634]]",1/1/2021,697,23.00600805,0.00143472,0.00286944,0.027259684,0.054519369,0.06312769,183,294,0,0.000316405
2694,"[[34.755921, 32.046095], [34.75617, 32.046027]]",1/1/2021,120,39.19781447,0,0,0,0.008333333,0.016666667,22,84,0,0
2695,"[[34.75915, 32.044672], [34.759245, 32.044611]]",1/1/2021,159,39.59056193,0,0,0,0.012578616,0,16,94,0,0.010638298
2696,"[[34.759597, 32.044253], [34.759657, 32.044227]]",1/1/2021,121,42.33269959,0,0,0,0.008264463,0.008264463,33,85,0,0
2697,"[[34.764161, 32.043729], [34.766024, 32.043037]]",1/1/2021,583,36.18215647,0.003430532,0,0.02058319,0.02915952,0.018867925,280,305,0,0.001425131
2698,"[[34.759978, 32.044715], [34.760559, 32.044595]]",1/1/2021,233,45.72447445,0,0,0,0.008583691,0.042918455,20,134,0,0.021846948
2699,"[[34.758344, 32.045386], [34.758466, 32.045129]]",1/1/2021,166,38.13724137,0,0,0.006024096,0,0,9,105,0,0
2700,"[[34.773431, 32.049446], [34.773466, 32.049425]]",1/1/2021,416,38.61034682,0,0,0,0.007211538,0.007211538,11,294,0,0.063492065
2701,"[[34.775796, 32.048517], [34.775883, 32.048488]]",1/1/2021,428,43.42069575,0,0,0,0.009345794,0.004672897,12,296,0,0.018701736
2702,"[[34.774391, 32.054981], [34.77442, 32.054985]]",1/1/2021,178,34.91018098,0,0,0,0.011235955,0,24,148,0,0
2703,"[[34.774478, 32.054984], [34.775108, 32.054905]]",1/1/2021,393,25.39961641,0.03307888,0,0.030534351,0.089058524,0.076335878,117,160,0,0.004908275
2704,"[[34.778202, 32.082471], [34.778176, 32.082488]]",1/1/2021,231,25.48647008,0,0.004329004,0.004329004,0,0,20,160,0,0
2705,"[[34.783456, 32.080167], [34.783391, 32.080172]]",1/1/2021,236,32.4550481,0,0,0,0.008474576,0.012711864,19,143,0,0
2706,"[[34.782077, 32.07345], [34.78197, 32.073458]]",1/1/2021,280,24.34260382,0,0,0,0.039285714,0.05,0,0,0,0
2707,"[[34.782421, 32.095443], [34.782613, 32.095475]]",1/1/2021,576,36.25537368,0.006944444,0.006944444,0.006944444,0.032986111,0.020833333,53,279,0,0.001298133
2708,"[[34.779803, 32.088587], [34.780368, 32.088491]]",1/1/2021,1161,26.87933844,0.01464255,0.002583979,0.029285099,0.049956934,0.035314384,238,415,0,0.000802793
2709,"[[34.780406, 32.088486], [34.781255, 32.088346]]",1/1/2021,1373,31.14007808,0.006554989,0.001456664,0.016023307,0.061179898,0.053896577,166,437,0,0.00365762
2710,"[[34.776055, 32.097318], [34.776196, 32.097365]]",1/1/2021,1722,38.57550208,0.0029036,0,0.0029036,0.008710801,0.005226481,100,1023,0,0.01472493
2711,"[[34.789085, 32.102992], [34.789042, 32.103042]]",1/1/2021,132,31.85198355,0,0,0,0.015151515,0.007575758,5,80,0,0.214360125
